movie_id,users,title,summary,year,genre
tt2406566,users,Atomic Blonde,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,(2017),"Action, Mystery, Thriller"
tt1219827,users,Ghost in the Shell,"In the near future, Major is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",(2017),"Action, Crime, Drama"
tt4158096,users,Free Fire,"Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival.",(2016),"Action, Crime, Thriller"
tt1628841,users,Independence Day: Resurgence,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",(2016),"Action, Adventure, Sci-Fi"
tt2094766,users,Assassin's Creed,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.",(2016),"Action, Adventure, Drama"
tt0451279,users,Wonder Woman,"Before she was Wonder Woman she was Diana, princess of the Amazons, trained warrior. When a pilot crashes and tells of conflict in the outside world, she leaves home to fight a war to end all wars, discovering her full powers and true destiny.",(2017),"Action, Adventure, Fantasy"
tt1790809,users,Pirates of the Caribbean: Dead Men Tell No Tales,Captain Jack Sparrow searches for the trident of Poseidon.,(2017),"Action, Adventure, Comedy"
tt3498820,users,Captain America: Civil War,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,(2016),"Action, Adventure, Sci-Fi"
tt3315342,users,Logan,"In the near future, a weary Logan cares for an ailing Professor X somewhere on the Mexican border. However, Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",(2017),"Action, Drama, Sci-Fi"
tt4116284,users,The LEGO Batman Movie,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",(2017),"Animation, Action, Adventure"
tt3385516,users,X-Men: Apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",(2016),"Action, Adventure, Sci-Fi"
tt1431045,users,Deadpool,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,(2016),"Action, Adventure, Comedy"
tt4425200,users,John Wick: Chapter 2,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",(2017),"Action, Crime, Thriller"
tt3717252,users,Underworld: Blood Wars,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",(2016),"Action, Adventure, Fantasy"
tt3896198,users,Guardians of the Galaxy Vol. 2,"Set to the backdrop of Awesome Mixtape #2, 'Guardians of the Galaxy Vol. 2' continues the team's adventures as they unravel the mystery of Peter Quill's true parentage.",(2017),"Action, Adventure, Sci-Fi"
tt1386697,users,Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,(2016),"Action, Adventure, Fantasy"
tt4680182,users,Colossal,A woman discovers that severe catastrophic events are somehow connected to the mental breakdown from which she's suffering.,(2016),"Action, Comedy, Sci-Fi"
tt3450958,users,War for the Planet of the Apes,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",(2017),"Action, Adventure, Drama"
tt2072233,users,Sleepless,A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.,(III) (2017),"Action, Crime, Thriller"
tt2015381,users,Guardians of the Galaxy,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,(2014),"Action, Adventure, Sci-Fi"
tt4649466,users,Kingsman: The Golden Circle,"When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the US. These two elite secret organizations must band together to defeat a common enemy.",(2017),"Action, Adventure, Comedy"
tt5013056,users,Dunkirk,"Allied soldiers from Belgium, the British Empire, Canada, and France are surrounded by the German army and evacuated during a fierce battle in World War II.",(2017),"Action, Drama, Thriller"
tt1211837,users,Doctor Strange,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",(2016),"Action, Adventure, Fantasy"
tt4154756,users,Avengers: Infinity War,The plot is unknown at this time.,(2018),"Action, Adventure, Fantasy"
tt3501632,users,Thor: Ragnarök,Thor must face the Hulk in a gladiator match and save his people from the ruthless Hela.,(2017),"Action, Adventure, Fantasy"
tt2345759,users,The Mummy,"An ancient princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",(2017),"Action, Adventure, Fantasy"
tt0113568,users,Kôkaku Kidôtai,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,(1995),"Animation, Action, Crime"
